county,city,totalcountconfirmed,totalcountdeaths
Orange,Aliso Viejo,206,
Orange,Anaheim,4654,
Orange,Brea,239,
Orange,Buena Park,738,
Orange,Costa Mesa,840,
Orange,Coto de Caza,15,
Orange,Cypress,251,
Orange,Dana Point,135,
Orange,Fountain Valley,269,
Orange,Fullerton,1251,
Orange,Garden Grove,1400,
Orange,Huntington Beach,1323,
Orange,Irvine,875,
Orange,La Habra,614,
Orange,La Palma,91,
Orange,Ladera Ranch,87,
Orange,Laguna Beach,102,
Orange,Laguna Hills,159,
Orange,Laguna Niguel,207,
Orange,Laguna Woods,32,
Orange,Lake Forest,404,
Orange,Los Alamitos,135,
Orange,Midway City,54,
Orange,Mission Viejo,421,
Orange,Newport Beach,648,
Orange,Orange,1244,
Orange,Placentia,488,
Orange,Rancho Mission Viejo,38,
Orange,Rancho Santa Margarita,177,
Orange,Rossmoor,26,
Orange,San Clemente,237,
Orange,San Juan Capistrano,181,
Orange,Santa Ana,5081,
Orange,Seal Beach,155,
Orange,Silverado,16,
Orange,Stanton,308,
Orange,Trabuco Canyon,107,
Orange,Tustin,586,
Orange,Villa Park,34,
Orange,Westminster,507,
Orange,Yorba Linda,357,
Los Angeles,Agoura Hills,81,1
Los Angeles,Alhambra,650,13
Los Angeles,Arcadia,237,11
Los Angeles,Artesia,172,2
Los Angeles,Avalon,5,0
Los Angeles,Azusa,733,9
Los Angeles,Baldwin Park,1429,35
Los Angeles,Bell,857,24
Los Angeles,Bell Gardens,1019,12
Los Angeles,Bellflower,1279,38
Los Angeles,Beverly Hills,425,8
Los Angeles,Bradbury,7,0
Los Angeles,Burbank,763,49
Los Angeles,Calabasas,159,11
Los Angeles,Carson,925,33
Los Angeles,Cerritos,330,7
Los Angeles,Claremont,180,3
Los Angeles,Commerce*,299,2
Los Angeles,Compton,2073,26
Los Angeles,Covina,700,12
Los Angeles,Cudahy,613,10
Los Angeles,Culver City,266,27
Los Angeles,Diamond Bar,289,4
Los Angeles,Downey,2378,55
Los Angeles,Duarte,270,22
Los Angeles,El Monte,2296,69
Los Angeles,El Segundo,82,0
Los Angeles,Gardena,666,32
